Name,Age,Date,Monthly_Family_Income,Option_Selected,Experience,Unknown_feature,City,Country,Work_Authorization,Gender,Contact_number,Email,Marital_Status,Employment_type,Applied_role,Skill_1,Skill_2,Rating,Applied_company
Robert Clark,45,01-02-24,13449,B,Yes,3,North Markhaven,Gibraltar,1,M,+11066668412x722,ryan16@hotmail.com,married,unemployed,Careers adviser,Unknown,R,9,Unknown
Erica Gregory,32,02-02-24,137574,C,No,1,Christopherfort,Lebanon,1,Other,not_provided,alane@hopkins-smith.com,single,employed,Chief Technology Officer,Unknown,Unknown,0,Unknown
Kathleen Baxter,42,05-02-24,122931,B,No,1,Jillianburgh,Botswana,1,M,+18612568430x4334,edward43@yahoo.com,single,unemployed,Energy manager,Excel,Tableau,5,Unknown
Timothy Martin,42,12-02-24,80927,A,Yes,2,South Eddie,Benin,1,F,13574047085,josephburns@price.net,single,unemployed,"Teacher, primary school",Unknown,PowerBI,3,Unknown
Karen Villa,42,15-02-24,24698,B,Yes,2,South Joshuamouth,Colombia,1,F,+18267638736x006,not_provided,married,unemployed,Facilities manager,Unknown,PowerBI,5,Unknown
Zachary Allen,42,16-02-24,147401,B,No,4,Rodriguezfort,Russian Federation,1,F,+19957226963x471,not_provided,single,unemployed,"Engineer, broadcasting (operations)",Python,PowerBI,1,Unknown
Jay Patel,42,18-02-24,43833,B,No,3,Jeffreyton,Mayotte,1,F,+10782979728x7187,keith71@mcdowell.com,single,employed,Glass blower/designer,Python,Unknown,5,Horn Group
Jennifer Key,42,19-02-24,127274,A,No,4,East Gabriel,Ukraine,0,F,17255006047,bgreen@hotmail.com,single,freelancer,Civil Service administrator,Unknown,Unknown,5,Unknown
Michael West,42,19-02-24,24130,A,Yes,4,Tuckerhaven,Reunion,1,Other,+18523986755x0478,not_provided,single,unemployed,Product/process development scientist,Unknown,PowerBI,1,Unknown
William Roach,42,21-02-24,40969,A,No,4,Christopherville,Belgium,1,F,13803741537,not_provided,married,unemployed,Theatre stage manager,Python,Tableau,4,Unknown
Walter Ortega,42,21-02-24,149296,C,No,3,Cannonborough,Egypt,1,Other,+19457476611x7972,lauren78@hotmail.com,married,freelancer,Sales executive,Unknown,Unknown,8,Unknown
Tara Spears,42,23-02-24,57612,B,Yes,1,North Erica,Kuwait,0,Other,15186893156,forddesiree@hotmail.com,single,unemployed,"Geneticist, molecular",SQL,PowerBI,7,Unknown
Melissa Ferguson,58,25-02-24,78826,B,Yes,3,West David,Lao People's Democratic Republic,1,M,+18986354900x351,not_provided,married,employed,Artist,Excel,R,5,"Kelly, King and Walker"
Leslie Green,42,03-03-24,131984,A,Yes,2,West Mandy,Malaysia,0,Other,+10827168656x392,not_provided,married,unemployed,Research scientist (medical),Python,Tableau,7,Unknown
Claire Zamora,42,14-03-24,78040,B,No,1,Vincentville,Greece,0,Other,15969777086,not_provided,single,unemployed,Product manager,SQL,Unknown,8,Unknown
Cheryl Faulkner,49,15-03-24,93756,B,No,4,New Brittanyport,Yemen,1,F,+13154290632x820,uevans@gmail.com,married,freelancer,Chiropractor,Python,Tableau,5,Unknown
Mark Gonzalez,42,18-03-24,105078,B,No,4,West Michelle,French Guiana,1,Other,+17095052818x582,not_provided,single,freelancer,Clinical biochemist,Unknown,Unknown,3,Unknown
Luis Hart,42,29-03-24,22987,B,No,3,Thomasside,Faroe Islands,1,Other,18425660681,not_provided,married,unemployed,Medical sales representative,SQL,Unknown,6,Unknown
Alyssa Ayala,42,31-03-24,38841,C,No,2,Karenchester,Oman,1,M,+13536093987x78529,not_provided,single,freelancer,Field seismologist,SQL,Tableau,8,Unknown
Victoria Yu,48,01-04-24,125665,C,Yes,2,East Briannaside,Palestinian Territory,0,M,+12653220372x8833,not_provided,married,employed,Professor Emeritus,Python,R,1,Simmons-Stewart
April Solomon,42,03-04-24,46784,B,Yes,2,Owensfort,Zambia,1,Other,18341971402,not_provided,single,unemployed,English as a foreign language teacher,Unknown,Unknown,5,Unknown
Tyler Reynolds,42,06-04-24,104329,C,No,2,Kylemouth,South Georgia and the South Sandwich Islands,1,M,+18198968237x92352,browningmatthew@wise-nelson.biz,married,unemployed,Chief Strategy Officer,Excel,Tableau,10,Unknown
Carrie Nelson,60,07-04-24,120155,A,No,4,South Josephfort,Cyprus,0,M,14414042378,not_provided,single,unemployed,Electronics engineer,Unknown,R,6,Unknown
Matthew Sanchez,53,13-04-24,119691,B,No,2,Taylorchester,Martinique,0,Other,+19597464020x987,not_provided,married,employed,Retail buyer,Unknown,PowerBI,10,Unknown
Steven Potter,42,14-04-24,57376,B,No,4,South Michaelmouth,Honduras,1,Other,+14771439456x148,not_provided,married,freelancer,Event organiser,Python,PowerBI,6,Unknown
Laura Richard,42,14-04-24,147628,B,No,2,South Rose,Cuba,1,Other,15308491264,not_provided,married,unemployed,Fashion designer,Unknown,R,8,Unknown
Ronald Taylor,42,14-04-24,60971,UNKNOWN,No,4,North April,French Polynesia,1,F,18378717751,not_provided,married,freelancer,Secretary/administrator,Unknown,Unknown,0,Unknown
Antonio Rodgers,42,15-04-24,30527,C,Yes,1,Bartonbury,Botswana,1,F,+18910553402x505,wardsydney@soto-stokes.net,single,freelancer,Copy,Unknown,Unknown,9,Unknown
Danielle Rogers,42,15-04-24,129145,A,No,1,Tammymouth,El Salvador,0,F,+16859752622x29390,lisa10@monroe.com,single,freelancer,"Engineer, electrical",Unknown,Unknown,1,Unknown
Xavier Jenkins,42,15-04-24,27270,A,No,2,New Benjamin,Georgia,1,M,+12538922888x25451,not_provided,single,employed,"Geologist, engineering",Unknown,Unknown,7,"Atkins, Sanchez and Todd"
Joshua Johnson,42,16-04-24,148273,C,No,1,Jamesborough,Cook Islands,1,M,14673760968,xhall@yahoo.com,single,employed,"Accountant, chartered management",Excel,Unknown,2,Unknown
Sherri Walter,42,16-04-24,71147,A,No,1,North Shane,Mayotte,1,M,17744819215,emily76@gmail.com,married,freelancer,Building control surveyor,SQL,Unknown,6,Unknown
Cole Griffin,42,19-04-24,119584,UNKNOWN,No,2,Alexanderburgh,Philippines,1,Other,16274011006,hcollins@bush.com,married,employed,"Conservator, furniture",Unknown,Tableau,8,Unknown
Phillip Cunningham,45,20-04-24,137732,B,No,4,Melissahaven,Mexico,1,Other,+10602600936x72134,not_provided,single,employed,Music tutor,SQL,Unknown,10,Unknown
Amanda Stevens,37,20-04-24,61314,C,Yes,3,East Jacobchester,Puerto Rico,0,F,+16101470278x3758,not_provided,married,employed,"Lighting technician, broadcasting/film/video",Excel,Unknown,5,Unknown
John Webb,42,20-04-24,93372,B,No,1,Martinezland,Kiribati,1,M,+14804773984x443,lynchalyssa@yahoo.com,single,freelancer,Clinical molecular geneticist,Excel,PowerBI,7,Zamora-Macdonald
Christina Black,42,21-04-24,44345,C,No,2,West Noah,Netherlands Antilles,1,M,18857425576,not_provided,married,unemployed,"Engineer, mining",Python,Tableau,1,Unknown
Jessica Gilbert,42,21-04-24,116891,B,No,1,Christopherborough,Dominican Republic,0,M,+18190098496x25811,not_provided,single,freelancer,Retail merchandiser,SQL,R,6,Unknown
Robert Gomez,35,22-04-24,46808,B,Yes,3,Dianeborough,Ukraine,0,F,17569660728,not_provided,married,employed,Psychiatric nurse,Python,Unknown,10,Unknown
Paul Torres,37,28-04-24,73871,UNKNOWN,No,1,Jamesview,Turks and Caicos Islands,1,F,+17062234050x0834,millerdeborah@hutchinson.com,single,employed,Marketing executive,Excel,Tableau,7,Unknown
Carl Dunn,42,28-04-24,17012,A,Yes,1,North Charlesshire,Togo,0,M,+12418815229x57396,not_provided,single,unemployed,Architect,Python,Tableau,5,"Mclean, Young and Butler"
Kevin King,55,30-04-24,129040,C,No,1,Romeroview,Vanuatu,0,F,18013696373,not_provided,single,freelancer,"Radiographer, diagnostic",Python,Unknown,4,Unknown
Matthew Carpenter,42,03-05-24,58008,C,No,1,East Jacobbury,Norway,1,Other,+15025068016x52685,pmiles@yahoo.com,single,freelancer,Social researcher,Unknown,Unknown,2,Gibson-West
Maurice Boyle,42,08-05-24,93442,A,No,4,West Keithport,Greenland,1,Other,+14775839560x116,not_provided,married,unemployed,Technical author,Unknown,Unknown,1,Unknown
Rebecca Gomez,37,09-05-24,137896,B,Yes,4,Port Joshuafurt,Romania,1,F,+16061522700x0822,not_provided,single,unemployed,Animal technologist,Unknown,Tableau,4,Unknown
Andrew Miller,42,10-05-24,27506,B,No,3,Rogerstown,Croatia,0,Other,+17374530039x13048,not_provided,married,employed,"Civil engineer, consulting",Unknown,R,7,Unknown
Jamie Obrien,27,13-05-24,129554,B,No,4,Lake Kyle,Belarus,0,Other,10757355797,not_provided,single,unemployed,"Therapist, drama",SQL,PowerBI,1,Knight-Alvarez
Rebecca Howard,49,15-05-24,45407,UNKNOWN,Yes,1,Sheltonton,Armenia,1,F,13347834165,not_provided,single,employed,"Nurse, adult",Unknown,Unknown,8,Unknown
Melissa Lopez,21,16-05-24,110162,B,Yes,2,Port Williamton,Isle of Man,0,F,13918620726,not_provided,single,freelancer,Child psychotherapist,Unknown,Tableau,4,Unknown
Daryl Ayala,42,20-05-24,24614,UNKNOWN,Yes,3,West Dawn,Yemen,0,F,+16924967058x3525,yallen@hotmail.com,single,freelancer,"Conservation officer, historic buildings",Unknown,PowerBI,4,Dean-Campbell
Michelle Coffey,42,22-05-24,81311,C,Yes,4,Port Alexa,Syrian Arab Republic,1,Other,18867296488,not_provided,single,unemployed,Patent examiner,Python,Unknown,6,Unknown
Jamie Turner,42,24-05-24,90941,B,Yes,2,Port Erin,Jersey,0,M,+18900756550x2413,ronald48@hotmail.com,single,freelancer,"Producer, television/film/video",Python,Unknown,3,Unknown
Andres Johnson,42,24-05-24,148022,B,Yes,3,Ingramchester,Thailand,1,M,14904345080,not_provided,married,unemployed,Location manager,SQL,PowerBI,6,Unknown
Melissa Lee,42,24-05-24,35875,B,Yes,1,South Jesse,Saint Kitts and Nevis,1,Other,+16630333161x55578,chenmitchell@gmail.com,single,freelancer,Fisheries officer,Unknown,R,6,Unknown
Crystal Rivera,42,27-05-24,105264,C,Yes,4,Garciamouth,Equatorial Guinea,1,M,+11947787681x583,devin44@hotmail.com,married,employed,Ceramics designer,SQL,Unknown,6,Unknown
Jennifer Houston,35,31-05-24,72988,C,Yes,1,New Katelynfort,Suriname,1,Other,+17073839603x994,not_provided,married,freelancer,"Therapist, sports",Unknown,Unknown,10,Unknown
Deborah Neal,42,02-06-24,125070,A,Yes,3,Michaelton,Timor-Leste,0,M,+10437422870x2586,veronicasingh@yahoo.com,single,freelancer,Air cabin crew,Excel,Tableau,9,Unknown
Darius Wilson,42,05-06-24,57019,C,No,4,Joshuafurt,Gabon,0,Other,+18095730278x315,kmills@winters.com,married,freelancer,Clinical psychologist,Unknown,Tableau,8,Unknown
Jonathan Anderson,42,05-06-24,109044,B,No,4,Port Kenneth,San Marino,1,Other,18335022137,burgessjames@yahoo.com,married,freelancer,Health promotion specialist,Excel,PowerBI,1,Lewis Inc
Barbara Miller,42,07-06-24,76481,A,Yes,2,Feliciaton,Bouvet Island (Bouvetoya),1,Other,18820428284,not_provided,married,freelancer,"Scientist, marine",Python,Unknown,9,Unknown
Christine Mcbride,25,07-06-24,118048,A,No,1,West Susan,Kiribati,1,F,+16667841265x3873,not_provided,single,unemployed,"Engineer, communications",Excel,R,0,Unknown
Natalie Mason,42,08-06-24,106335,A,No,1,West Vanessa,Saint Helena,0,F,+11987427571x408,not_provided,married,unemployed,"Scientist, product/process development",Python,Unknown,8,Unknown
Kimberly Owens,42,09-06-24,109825,C,Yes,2,Dianeborough,Holy See (Vatican City State),1,M,12529742075,mayerrobert@mosley.org,married,unemployed,Personnel officer,Python,Unknown,0,Unknown
Daniel Smith,42,11-06-24,22170,B,Yes,3,Jacobmouth,Switzerland,0,M,12350217677,not_provided,married,employed,Art therapist,Unknown,Unknown,9,Unknown
Jason Harper,42,11-06-24,106868,C,No,1,Murrayborough,Isle of Man,1,M,16283957483,not_provided,married,freelancer,Legal executive,Excel,PowerBI,3,Unknown
David Garcia,53,12-06-24,66562,B,No,4,Port Robertbury,Iraq,1,M,13854225986,not_provided,married,freelancer,Data processing manager,Unknown,R,2,Unknown
Anthony Cole,42,13-06-24,24338,A,Yes,2,East Andrewland,Finland,1,F,+19474485577x3357,not_provided,married,employed,"Conservator, furniture",SQL,PowerBI,0,Unknown
Emily Nguyen,42,13-06-24,129812,B,Yes,3,Mcintyrechester,Turks and Caicos Islands,0,F,+16215425458x3932,not_provided,single,unemployed,"Psychologist, clinical",Unknown,PowerBI,4,Unknown
Wayne King,42,15-06-24,52757,B,Yes,3,New Jimmy,Vanuatu,1,M,+10093128043x536,fosteredwin@ward-lopez.org,married,employed,Oceanographer,Unknown,R,1,Anderson PLC
Kaitlin Ford,34,17-06-24,117337,C,Yes,2,Lake Christopher,Eritrea,0,Other,+18984542592x288,not_provided,married,employed,Diplomatic Services operational officer,Unknown,Tableau,6,Johnson-Jones
Sarah Snow,42,20-06-24,97341,A,Yes,3,Smithberg,Croatia,0,Other,+12760027333x36550,not_provided,married,employed,Academic librarian,Python,Tableau,3,Wagner-Carpenter
William Lewis,43,21-06-24,24016,A,No,2,New Lori,Bahrain,1,M,+14854283049x373,not_provided,married,unemployed,"Therapist, occupational",Python,Tableau,5,Unknown
Jeffrey Boone,23,22-06-24,48283,A,Yes,2,Port Duanehaven,Taiwan,0,F,+11118867352x84464,not_provided,single,freelancer,Tourist information centre manager,Unknown,Tableau,7,"Porter, Blair and Padilla"
Tanya Williams,31,23-06-24,51824,C,Yes,4,Port James,Fiji,0,Other,17225694146,ingramjustin@yahoo.com,single,unemployed,"Therapist, sports",Python,R,5,Unknown
Tammy Holder,42,23-06-24,141695,B,No,1,Mariaburgh,Guatemala,1,M,+15613780578x420,not_provided,single,unemployed,Hospital doctor,Excel,Unknown,7,Unknown
Ryan Andersen,42,28-06-24,114901,A,No,2,Curtishaven,Hungary,1,M,+12322776597x571,not_provided,single,freelancer,Systems developer,Unknown,PowerBI,3,Unknown
Elizabeth Jones,42,29-06-24,93501,B,Yes,4,North Jennifer,Czech Republic,0,F,+17135670979x46689,usims@yahoo.com,married,employed,Control and instrumentation engineer,Python,Tableau,2,Unknown
Robin Hubbard,38,01-07-24,139932,UNKNOWN,No,3,Rangelstad,Saint Pierre and Miquelon,1,M,15240796563,caseydonald@gmail.com,married,freelancer,"Doctor, hospital",Unknown,Tableau,3,Unknown
Anita Knox,42,01-07-24,56720,C,No,1,Georgeland,Gibraltar,0,F,+10051364956x689,not_provided,single,freelancer,Sub,SQL,Unknown,0,Unknown
Christopher Gilbert,42,03-07-24,91103,A,No,2,West Jessica,British Virgin Islands,1,F,+18897830198x5751,not_provided,single,employed,"Administrator, arts",SQL,Unknown,8,Unknown
John Chapman,42,03-07-24,119611,A,Yes,3,North Lawrenceborough,Nepal,1,Other,17935732502,not_provided,married,employed,"Surveyor, quantity",Excel,Unknown,1,Unknown
Angela Jones,42,05-07-24,20908,A,Yes,3,Lake Robert,Sao Tome and Principe,1,F,+18582481063x6007,townsendmonica@hotmail.com,single,employed,Accommodation manager,Python,Unknown,10,Bowen-Thomas
Victoria Ball,42,05-07-24,115368,A,No,4,West Zacharyville,Equatorial Guinea,1,F,13118273596,stephanie85@stafford.com,single,employed,Commercial/residential surveyor,SQL,PowerBI,6,Willis-Holloway
Alexander Robles,42,06-07-24,27997,B,No,4,Jessetown,Burkina Faso,0,M,15289245491,not_provided,married,freelancer,Chemical engineer,Unknown,Unknown,2,Unknown
Tamara Santos MD,42,07-07-24,65769,B,Yes,1,Port Cindy,Argentina,0,Other,+16981553321x778,not_provided,married,freelancer,"Surveyor, minerals",SQL,Tableau,0,Unknown
Brian Flores DDS,42,13-07-24,112562,A,No,3,Lake Danielville,Papua New Guinea,0,M,+12943262036x732,travis91@hotmail.com,married,freelancer,Clinical psychologist,SQL,PowerBI,3,"Willis, Roberts and Dixon"
Dana Vincent,42,13-07-24,116805,B,Yes,2,East Michaelport,Belarus,1,Other,+10436651229x163,guerreroedward@yahoo.com,single,employed,"Therapist, art",Unknown,Unknown,4,Unknown
Nicole Moreno,51,15-07-24,16542,B,No,4,Clarkfort,Congo,1,M,+14552917699x820,not_provided,married,employed,Surgeon,Unknown,R,10,Unknown
Elizabeth Green,55,20-07-24,138324,B,Yes,4,Janestad,Vanuatu,0,Other,+14773720054x985,not_provided,married,employed,Museum education officer,Unknown,R,8,Sloan and Sons
Megan Johns,35,20-07-24,46532,C,Yes,2,Wyattland,Panama,0,M,+18978349952x9867,not_provided,married,freelancer,Environmental health practitioner,Unknown,PowerBI,0,Unknown
Michael Haley,32,23-07-24,43633,C,Yes,2,West Ronaldport,Lao People's Democratic Republic,1,M,+19831013315x77804,not_provided,married,employed,Clinical cytogeneticist,SQL,PowerBI,4,"Mann, Walters and White"
Angela Ray,42,24-07-24,22133,B,Yes,1,Robertsburgh,Costa Rica,1,Other,18716562766,salazarteresa@bennett.com,single,freelancer,Insurance risk surveyor,SQL,Tableau,3,Sutton Inc
Phillip Bond,42,26-07-24,135818,C,No,4,South Shawn,Moldova,0,M,13529856806,jessicadiaz@yahoo.com,single,unemployed,Physiological scientist,Excel,Unknown,10,Harris and Sons
Garrett Malone MD,42,26-07-24,37802,A,Yes,2,Richmondport,Aruba,1,F,14970979277,not_provided,married,freelancer,Soil scientist,Unknown,PowerBI,7,"Miles, Strong and Murphy"
David Davis,30,26-07-24,140104,UNKNOWN,No,4,Stevenside,Canada,1,M,+13661925013x51850,not_provided,married,freelancer,Warehouse manager,Python,PowerBI,10,"Wilson, Wu and Adams"
Frank Marquez,37,27-07-24,13244,B,No,3,Nancyland,Saint Lucia,1,F,+18301465247x996,not_provided,single,unemployed,"Exhibitions officer, museum/gallery",Unknown,R,1,Unknown
Scott Wallace,42,28-07-24,36089,A,No,2,Lake Megan,Somalia,0,F,+19145776377x25837,not_provided,married,unemployed,"Psychotherapist, child",SQL,PowerBI,6,Unknown
Sarah Trujillo,42,29-07-24,144845,A,No,4,Lake Brianport,Bermuda,1,F,+10628824491x637,not_provided,married,freelancer,Regulatory affairs officer,Python,PowerBI,8,Unknown
Rodney Garcia,42,31-07-24,61765,A,No,1,Ritterside,Bolivia,0,Other,15207055114,not_provided,single,employed,"Nurse, adult",Unknown,Unknown,10,Green-Dixon
Roy Perkins,42,03-08-24,19711,B,No,3,Mirandaton,Iran,0,F,12112299690,hesternatalie@novak.com,married,unemployed,Orthoptist,SQL,Tableau,2,Unknown
Danielle Curtis MD,42,03-08-24,121146,A,No,4,Lowefort,Mexico,0,F,+18151371750x5855,not_provided,married,unemployed,Control and instrumentation engineer,Excel,Tableau,2,Unknown
Michael Schultz,42,04-08-24,27230,A,Yes,2,West Daniel,Uganda,0,F,+14314274533x20179,not_provided,single,freelancer,Office manager,SQL,Unknown,2,Unknown
Pamela Bates,42,06-08-24,106615,A,No,3,North Stevenmouth,Pakistan,1,F,+12770209516x02298,not_provided,single,employed,Equities trader,Excel,Tableau,4,Unknown
Casey Mercer,41,08-08-24,108703,B,No,3,Catherineland,Norfolk Island,1,F,18002784960,morandavid@stokes.com,married,freelancer,Occupational hygienist,Python,Tableau,8,Unknown
Tonya Jackson,42,10-08-24,66857,UNKNOWN,No,1,Harrisborough,Libyan Arab Jamahiriya,0,Other,14272887030,not_provided,single,employed,Hydrographic surveyor,SQL,PowerBI,0,Unknown
Michele Rogers,65,16-08-24,90873,B,No,1,Timothystad,Eritrea,0,Other,+13426333248x0654,steven67@chan.info,single,unemployed,Barrister,Unknown,Tableau,0,Unknown
Anthony Huber,30,16-08-24,99334,UNKNOWN,Yes,3,South Gina,Mongolia,1,F,+19170843287x6393,humphreyelizabeth@obrien.com,single,freelancer,Equality and diversity officer,Unknown,Unknown,1,Mcneil-Neal
Cassie Pierce,42,16-08-24,131353,A,Yes,4,New Catherine,Aruba,1,Other,+19047367515x41377,not_provided,married,employed,Energy manager,SQL,R,6,Lewis-Brown
Michael Rogers,42,20-08-24,5565,UNKNOWN,Yes,4,New Chadport,Belize,0,M,+16688474082x455,not_provided,single,unemployed,"Producer, television/film/video",SQL,R,3,Unknown
Christopher Fuller,42,20-08-24,119141,C,No,1,East Sarahchester,Jersey,0,Other,+11974542586x80625,not_provided,married,unemployed,Seismic interpreter,SQL,Unknown,8,Unknown
John Lynch,42,21-08-24,124165,A,Yes,3,Port Jessicafort,Jordan,1,M,+14540274113x38743,kyle72@lucero-butler.com,single,employed,Camera operator,SQL,PowerBI,5,Unknown
Carla Mills,42,21-08-24,110927,A,Yes,3,Stephaniehaven,Guam,0,F,+13036797516x788,not_provided,single,unemployed,Medical technical officer,SQL,R,4,"Hamilton, Young and Nguyen"
Patricia Cooper,36,22-08-24,85974,B,Yes,3,North Martin,Brunei Darussalam,0,F,14574088891,not_provided,married,freelancer,Facilities manager,Excel,R,2,Unknown
Lisa Davis,35,24-08-24,121574,A,No,1,Arellanohaven,Malta,1,M,+18361144022x22742,not_provided,married,employed,Site engineer,Unknown,R,3,Unknown
Kyle Murphy,24,24-08-24,6372,C,Yes,4,East Ruth,Mauritania,1,Other,+14585149260x919,hayleycooper@gmail.com,single,unemployed,"Surveyor, minerals",SQL,Unknown,7,Unknown
Theresa Davis,42,25-08-24,76291,A,Yes,2,East Michelleberg,Malaysia,0,Other,+12726306145x716,ycochran@browning-holmes.com,married,employed,Jewellery designer,SQL,Unknown,7,Johnson Inc
Steven Allen,62,26-08-24,65011,A,No,4,New Allen,Dominica,1,M,+13080104763x885,not_provided,single,unemployed,Fine artist,SQL,Unknown,5,Unknown
Rebecca Woods,54,28-08-24,66945,A,Yes,4,West Lindsey,Tunisia,0,F,+10463271292x11932,not_provided,married,employed,Financial adviser,Python,R,9,Unknown
Alexandra Smith,54,30-08-24,148109,C,Yes,3,West Jeffrey,Mexico,0,M,16933594142,not_provided,married,freelancer,Advertising account executive,Unknown,PowerBI,8,Unknown
Jeremy Garcia,42,03-09-24,73458,B,No,2,Chapmanburgh,Indonesia,0,M,+14214353129x79442,not_provided,single,freelancer,"Scientist, audiological",SQL,PowerBI,10,Herrera PLC
Michael Burnett,42,04-09-24,149919,A,Yes,1,West Andrea,Bahamas,0,F,+19646947131x37405,michele12@miller-kelly.com,single,unemployed,Environmental education officer,Unknown,R,2,Unknown
John Cardenas,19,06-09-24,32909,B,No,1,Michaeltown,Singapore,1,Other,+12838362745x05939,eking@yahoo.com,married,employed,Learning disability nurse,SQL,R,1,Unknown
Robert Rivers,42,06-09-24,143386,C,Yes,3,West Barbara,India,1,M,+13949425470x52885,johnsonrobin@yahoo.com,married,freelancer,Arts administrator,SQL,Tableau,4,Unknown
Darryl Jones,42,11-09-24,43389,B,No,2,Andrewside,Cook Islands,0,M,15448202981,walter99@spencer.info,married,employed,Multimedia specialist,Unknown,Unknown,7,Unknown
Lisa Norris,42,13-09-24,95316,B,Yes,1,Martinezview,Netherlands,1,Other,+10813363500x446,annettemartin@yahoo.com,married,employed,Health physicist,SQL,Tableau,10,Unknown
Jennifer Smith,42,13-09-24,70498,A,Yes,3,North Michaelport,Guinea-Bissau,1,M,+10207404698x1506,not_provided,married,employed,"Surveyor, building control",Python,Unknown,2,"Benson, Mccormick and Valencia"
John Myers,42,15-09-24,34325,C,Yes,2,Ryanberg,Niger,1,F,+18255192222x57699,not_provided,single,employed,Transport planner,Unknown,PowerBI,8,Unknown
Thomas Smith,42,16-09-24,9087,A,Yes,2,Robertstad,Senegal,1,Other,13534077503,sean99@hotmail.com,married,freelancer,Passenger transport manager,SQL,Unknown,3,"Morse, Benton and Sims"
Sean Hart,42,17-09-24,124618,C,Yes,4,North Zacharyville,Malaysia,0,M,not_provided,collinstodd@hotmail.com,married,employed,Pathologist,Unknown,Unknown,6,Unknown
Robert Barnett,29,22-09-24,73626,B,Yes,1,South Shawnhaven,Zambia,0,M,14590213764,not_provided,single,freelancer,Fashion designer,SQL,R,7,Unknown
Christopher Lewis,42,25-09-24,84058,B,Yes,1,Fowlerfort,Saint Lucia,1,M,+16610501124x599,not_provided,married,employed,Conference centre manager,Unknown,R,0,Maldonado PLC
John Diaz,42,28-09-24,6081,C,No,2,Jamesmouth,Kyrgyz Republic,1,M,10233089453,jamesamy@gmail.com,married,employed,"Embryologist, clinical",Python,PowerBI,4,Unknown
Travis Oneal Jr.,42,28-09-24,18096,B,Yes,4,Maxwellberg,Indonesia,0,F,13927797051,wyattjohn@gmail.com,single,employed,Health promotion specialist,Unknown,Unknown,9,Unknown
Steven Porter,42,02-10-24,146613,C,No,2,Brightland,Heard Island and McDonald Islands,0,Other,+13425267518x01769,eric31@gmail.com,married,employed,"Designer, graphic",Unknown,Unknown,0,Unknown
Jessica Reed,42,04-10-24,34277,C,Yes,2,Sanchezbury,Djibouti,0,F,14247243332,millerstephen@yahoo.com,single,freelancer,Biomedical scientist,Excel,Tableau,2,Unknown
Timothy Vincent,42,06-10-24,39164,C,Yes,4,New Nicolebury,Somalia,0,F,+18304728760x2910,not_provided,single,employed,Learning disability nurse,Unknown,Unknown,3,"White, Valenzuela and Rodriguez"
Melissa Dominguez,47,08-10-24,51832,A,Yes,4,Port Brianfurt,Cuba,0,F,16515831122,not_provided,married,unemployed,"Psychotherapist, dance movement",Python,Tableau,8,Unknown
Vanessa Sellers,42,08-10-24,42400,UNKNOWN,No,4,East Bruce,Netherlands Antilles,0,M,16361907118,not_provided,single,unemployed,"Pharmacist, community",Unknown,Unknown,7,Unknown
Kenneth Hall,42,08-10-24,32873,UNKNOWN,Yes,1,Smithfurt,Bahamas,1,F,+12160269360x30269,pearsonjeffrey@gmail.com,single,unemployed,"Presenter, broadcasting",Unknown,Unknown,6,Unknown
Rebecca Wolfe,42,09-10-24,16984,B,Yes,4,Danielside,Slovenia,0,M,15717020196,not_provided,married,freelancer,Petroleum engineer,Unknown,R,3,Unknown
Anthony Cruz,42,09-10-24,41581,C,No,1,Rodneyburgh,French Southern Territories,1,Other,+15942978759x20977,sheltongrace@hotmail.com,single,unemployed,Speech and language therapist,Unknown,Tableau,7,Unknown
Ryan Murphy,52,13-10-24,124654,UNKNOWN,Yes,4,Bradshawfort,Saint Vincent and the Grenadines,0,Other,11955543314,not_provided,single,freelancer,Building services engineer,Python,Unknown,10,"Huang, Martinez and Banks"
Kristin Myers,42,14-10-24,43499,A,No,3,Rileyside,Peru,0,M,14555121257,not_provided,single,freelancer,Intelligence analyst,Excel,Tableau,7,Unknown
Robert Williams,42,16-10-24,122220,A,No,2,North Aaron,Isle of Man,1,Other,+17421070937x095,not_provided,married,freelancer,Dealer,Python,PowerBI,9,Unknown
Calvin Moore,29,17-10-24,89315,A,Yes,4,Jasonstad,Norfolk Island,1,F,+19351547967x759,sandrastevens@wilson.net,single,unemployed,Automotive engineer,Python,Unknown,5,"Wong, White and Hernandez"
Karen Cox,42,21-10-24,73120,C,No,2,Ramirezshire,Oman,0,M,+18013690253x969,not_provided,married,employed,Recycling officer,Unknown,R,0,Unknown
Ryan Villa,42,28-10-24,41484,A,Yes,2,Swansonberg,French Guiana,0,F,18895946701,nowen@hotmail.com,married,freelancer,Equities trader,Excel,R,9,Unknown
Mark Barnes,42,30-10-24,42320,C,Yes,2,Moorebury,Madagascar,0,M,not_provided,not_provided,married,employed,Chartered legal executive (England and Wales),Excel,Unknown,9,"Miller, Wade and Anderson"
Robin Lambert,42,02-11-24,62149,C,Yes,2,New Joseph,Puerto Rico,0,Other,not_provided,not_provided,married,freelancer,Chief Operating Officer,Unknown,PowerBI,7,Unknown
Leslie Atkins,42,07-11-24,68048,B,No,1,Bensonborough,Poland,0,F,10116905165,ccox@thomas-russo.org,single,freelancer,Careers adviser,SQL,PowerBI,0,Cordova PLC
